Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,-0.3180437,0.0211045,-0.0295164,0.0120178,0.2431217,0.2514912,0.4131883,0.2828842,0.287804,0.3106858,0.3952676
Sri Lanka,-0.9429469,-0.7247714,-0.7170792,-0.6128954,-0.330464,0.0903681,-0.0040295,-0.0711655,-0.1452709,-0.2176228,-0.0465375
St. Kitts and Nevis,1.036112,0.9575883,0.9757881,0.9588634,0.5724882,0.5823264,0.6263307,0.6470767,0.6962385,0.7239246,0.9338933
St. Lucia,0.7902755,0.8490784,0.8937057,0.8533577,0.8164504,0.8536908,1.018932,0.9894348,1.006895,0.9132686,0.8724012
St. Vincent and the Grenadines,0.7902755,0.8490784,0.9288839,0.8533577,0.8164504,1.004725,1.018932,0.8884665,0.8408569,0.9535552,1.034534
Sudan,-2.665278,-2.522917,-2.260563,-2.19301,-2.363085,-2.162183,-2.337218,-1.97747,-1.823437,-1.701787,-1.763156
Suriname,0.0824755,0.1199753,0.0793255,0.1327792,0.2492708,0.2566883,0.1620813,0.1266813,0.0650854,0.1014941,0.4155418
Sweden,1.09417,1.230688,1.170597,1.127778,1.065415,0.9471064,1.017941,0.9844168,0.9405567,1.039473,1.022893
Switzerland,1.258594,1.300342,1.418336,1.40114,1.402653,1.339359,1.30629,1.256805,1.333553,1.324953,1.191969
Syrian Arab Republic,-0.8057897,-2.012107,-2.682274,-2.681143,-2.748824,-2.974081,-2.916323,-2.620819,-2.743687,-2.729881,-2.731418
"Taiwan, China",0.85661,0.9467747,0.8913848,0.8731343,0.7664131,0.9204997,0.9256644,0.8647215,0.8462771,0.7884589,0.7660569
Tajikistan,-1.034538,-1.023234,-1.24086,-1.182374,-0.6933408,-0.8826423,-0.7777599,-0.6735291,-0.7474654,-0.5208747,-0.5178772
Tanzania,0.0144716,-0.0241335,0.0514543,-0.1621208,-0.5971186,-0.4161943,-0.4409948,-0.5619287,-0.570935,-0.3735242,-0.4095079
